population_id,n_samples,mean_mass,sd_mass,Lineage,approx_lon,approx_lat
1,39,178.6564103,32.03540636,Cascades,-126.3760946,52.22570243
2,18,178.5555556,29.83724917,Cascades,-123.0301306,50.58182762
3,12,173.7583333,12.32900927,Cascades,-122.2906807,45.96541424
4,26,146.5461538,18.79342929,Cascades,-122.0534603,42.83523556
5,32,151.571875,21.17573527,Cascades,-121.8293256,44.2028311
6,17,157.0823529,20.82388158,Cascades,-121.6087928,46.28320993
7,29,163.2344828,29.85377789,Cascades,-121.5783169,48.85807766
8,40,155.2825,21.25833637,Cascades,-121.5540707,46.80695176
9,20,155.075,16.96770539,Cascades,-121.2200082,47.20576816
10,19,176.8315789,14.14064483,Cascades,-121.081171,47.75258609
11,35,175.0857143,25.07796247,Cascades,-120.62888,48.51947707
12,14,143.7642857,13.42045552,Cascades,-120.544204,48.85495478
13,13,152.0615385,8.481699757,Cascades,-120.376361,47.319198
14,41,154.7512195,25.20231261,Central Rockies,-115.4261327,40.63736748
15,25,162.652,17.28166466,Central Rockies,-111.5735824,42.24164041
16,17,148.3529412,15.59659889,Central Rockies,-110.9241396,43.03017964
17,41,151.8341463,18.83360839,Central Rockies,-110.7413495,43.49031111
18,41,136.0536585,13.93262534,Central Rockies,-110.641082,46.92244544
19,10,149.79,18.85155166,Central Rockies,-110.032134,44.45090706
20,33,155.6090909,18.98225098,Central Rockies,-109.9784102,43.66802572
21,25,150.16,19.10209413,Central Rockies,-109.4789673,45.01676742
22,11,152.8181818,26.78864753,Central Rockies,-109.085098,42.769328
23,40,142.95,13.83409019,Central Rockies,-107.8478062,44.88099355
24,54,156.5685185,21.89671143,Central Rockies,-107.2365635,40.05076468
25,37,151.4594595,25.18562707,Central Rockies,-107.0308504,41.18337906
26,29,175.6344828,22.2204744,Central Rockies,-106.2999087,41.37039672
27,125,158.1888,22.35606729,Central Rockies,-105.76968,40.38421
28,11,154.0818182,16.38223539,Northern Rockies,-121.2667,53.2667
29,20,147.665,16.57811731,Northern Rockies,-119.690827,50.358771
30,33,156.6666667,19.56665957,Northern Rockies,-119.8525899,51.71823292
31,10,143.69,20.3007088,Northern Rockies,-119.547304,49.911731
32,27,147.0518519,16.27752983,Northern Rockies,-118.0276177,52.79338794
33,10,150.96,12.73535761,Northern Rockies,-117.283333,49.43991928
34,13,166.7769231,19.07931488,Northern Rockies,-117.152432,51.048329
35,10,149.56,14.74171707,Northern Rockies,-117.1014,47.8706
36,14,174.8571429,13.12576528,Northern Rockies,-116.5822749,48.63094326
37,36,146.0305556,14.8693514,Northern Rockies,-116.5637311,45.24061379
38,17,129.6470588,11.67765589,Northern Rockies,-116.5138114,52.05459826
39,33,152.1030303,16.35253201,Northern Rockies,-115.7549905,47.52212409
40,10,136.75,21.67324259,Northern Rockies,-115.641303,50.888326
41,23,136.5217391,15.81388793,Northern Rockies,-115.321504,50.911347
42,12,147.3333333,25.99476637,Northern Rockies,-115.2357,44.3658
43,27,131.9481481,18.42956175,Northern Rockies,-114.8227734,43.99608925
44,11,149.9090909,18.4307056,Northern Rockies,-114.2932138,46.02878611
45,15,138.38,11.49019458,Northern Rockies,-114.049396,44.692285
46,11,136.3363636,14.16328159,Northern Rockies,-113.83794,46.97684
47,18,133.1888889,13.30435085,Northern Rockies,-113.6222935,43.4103361
48,16,153.9375,13.08163471,Northern Rockies,-113.197058,47.222864
49,41,136.0536585,13.93262534,Northern Rockies,-111.341082,46.92244544
50,19,147.6263158,19.13088957,Sierra Nevada,-122.2593533,41.37128908
